2023-11-27,2023-12-05,1,single,milosm@gmail.com,CHECKED_OUT,22,false
2023-12-11,2023-12-13,2,double,milicam@gmail.com,CHECKED_OUT,23,false
2023-12-17,2023-12-26,4,triple,markom@gmail.com,CHECKED_OUT,24,false
2023-12-26,2023-12-30,5,double,markom@gmail.com,CHECKED_OUT,25,false
2024-01-01,2024-01-04,3,suite,milosm@gmail.com,CHECKED_OUT,26,false
2024-01-07,2024-01-12,1,double,zoranz@gmail.com,CHECKED_OUT,27,false
2024-01-22,2024-01-24,2,triple,nikolinan@gmail.com,CHECKED_OUT,28,false
2024-02-01,2024-02-05,2,double,milosm@gmail.com,CHECKED_OUT,29,false
2024-02-08,2024-02-18,5,double,milosm@gmail.com,CHECKED_OUT,30,false
2024-05-01,2024-05-04,2,double,anaa@gmail.com,CHECKED_OUT,31,false
2024-03-13,2024-03-23,2,double,markom@gmail.com,CHECKED_OUT,10,false
2024-05-05,2024-05-09,1,single,milicam@gmail.com,CHECKED_OUT,32,false
2023-08-01,2023-08-04,4,triple,milicam@gmail.com,CHECKED_OUT,11,false
2024-05-10,2024-05-15,3,suite,milosm@gmail.com,CHECKED_OUT,33,false
2023-08-12,2023-08-19,4,triple,milosm@gmail.com,CHECKED_OUT,12,false
2024-05-12,2024-05-18,1,single,zoranz@gmail.com,CHECKED_OUT,34,false
2023-08-22,2023-08-25,4,triple,zoranz@gmail.com,CHECKED_OUT,13,false
2024-05-20,2024-05-25,4,triple,nikolinan@gmail.com,CHECKED_OUT,35,false
2023-09-02,2023-09-08,3,suite,nikolinan@gmail.com,CHECKED_OUT,14,false
2024-05-22,2024-05-27,3,suite,milanm@gmail.com,CHECKED_OUT,36,false
2023-09-17,2023-09-18,2,triple,markom@gmail.com,CHECKED_OUT,15,false
2024-05-28,2024-05-30,1,single,markom@gmail.com,CHECKED_OUT,37,false
2023-09-24,2023-09-29,2,double,milosm@gmail.com,CHECKED_OUT,16,false
2023-10-08,2023-10-14,4,triple,aleksandara@gmail.com,CHECKED_OUT,17,false
2024-05-02,2024-05-04,null,single,zoranz@gmail.com,REJECTED,39,false
2023-10-16,2023-10-26,2,double,aleksandara@gmail.com,CHECKED_OUT,18,false
2023-10-21,2023-10-30,3,suite,milicam@gmail.com,CHECKED_OUT,19,false
2024-08-13,2024-08-23,null,single,milicam@gmail.com,ON_HOLD,1,false
2024-08-06,2024-08-15,null,single,anaa@gmail.com,ON_HOLD,2,false
2023-08-13,2023-08-23,1,single,milicam@gmail.com,CHECKED_OUT,3,false
2023-09-12,2023-09-23,1,single,milosm@gmail.com,CHECKED_OUT,4,false
2023-10-13,2023-10-23,2,double,aleksandara@gmail.com,CHECKED_OUT,5,false
2023-11-13,2023-11-23,4,triple,zoranz@gmail.com,CHECKED_OUT,6,false
2023-12-13,2023-12-23,1,single,anaa@gmail.com,CHECKED_OUT,7,false
2024-01-13,2024-01-23,2,double,nikolinan@gmail.com,CHECKED_OUT,8,false
2024-02-13,2024-02-23,3,suite,milanm@gmail.com,CHECKED_OUT,9,false
2024-05-06,2024-05-09,1,double,milicam@gmail.com,CANCELLED,40,false
2024-05-11,2024-05-13,null,suite,milosm@gmail.com,REJECTED,41,false
2023-11-01,2023-11-10,3,suite,milosm@gmail.com,CHECKED_OUT,20,false
2024-05-13,2024-05-16,1,double,zoranz@gmail.com,CANCELLED,42,false
2023-11-14,2023-11-23,1,single,markom@gmail.com,CHECKED_OUT,21,false
2024-05-19,2024-05-22,null,triple,nikolinan@gmail.com,REJECTED,43,false
